Party Lists of Unsuccessful Registered Parties
Aotearoa Legalise Cannabis Party
1,"HERBERT, Maki Sheree"
2,"LYE, Jeffrey Eric"
3,"LAMBERT, Paula"
4,"BRITNELL, Michael Allan"
5,"KINGI, Emma-Jane Alice Mihaere"
6,"SHIRIWASTOW, Vineet Prasad"
7,"SAXBY-KONING, Jonee"
8,"McDERMOTT, Adrian Gordon"
9,"HERBERT-SHUFFLEBOTHAM, Janine Anne"
10,"WILKINSON, Steven Crawford George"
11,"SAXBY, Jeanette"
12,"BROWN, Anthony"
13,"SWAIN-ROBIN, Rebecca Rae"
14,"McTAGUE, Geoffrey William"
Ban1080
1,"GRAF, Clyde"
2,"WALLACE, William John"
3,"SALTER, Peter"
4,"ADAMS, Brian Alan"
5,"SAWYER, Carolyn Mary"
6,"HILTON, James Edwin"
7,"TOMLINSON, Glen James"
8,"HANSON, Kenneth Lloyd"
9,"MOLLOY, Mary Elizabeth"
Conservative
1,"BAKER, Leighton"
2,"IKILEI, Elliot Ewen Pasione"
3,"TAYLOR, Melanie Jane"
4,"STITT, Kevin Eric"
5,"FRAUENSTEIN, Martin Victor"
6,"ASHTON, Stuart Lachlan"
7,"DAVIE, Kathryn Mary"
8,"WELSH, Bruce Alexander"
9,"DAVIE, Paul Clifford"
10,"LARKINS, Roger David"
11,"JOHNSON, Jeffrey Alan"
12,"PRICE, Benjamin Daniel"
Democrats for Social Credit
1,"DE RUYTER, Stephnie Jane"
2,"LEITCH, Christopher John"
3,"JOBSIS, Jason Mark"
4,"MacARTHUR, Scott Andrew"
5,"VAN WIEREN, Hessel Christiaan"
6,"LEITCH, Andrew Simon"
7,"RANSOM, Katherine Elizabeth"
8,"BRIGGS, Simon Bailey"
9,"RHODES, Mischele"
10,"MATTHYS, Jan Karel Cornelis"
11,"COLLIN, John (Jack) Edward"
12,"McCONACHY, Heather Ann"
13,"RING, John"
14,"PEMBERTON, John Stuart"
15,"RYAN, Richard Francis"
16,"McKENZIE, Carolyn"
17,"WILSON, David Angus"
